,sg_value,integer
"(1,)",1,1
"(1, 1)",2,2
"(2,)",2,2
"(1, 1, 1)",1,3
"(2, 1)",0,3
"(3,)",1,3
"(1, 1, 1, 1)",2,4
"(2, 1, 1)",4,4
"(3, 1)",4,4
"(2, 2)",0,4
"(4,)",2,4
"(1, 1, 1, 1, 1)",1,5
"(2, 1, 1, 1)",3,5
"(3, 1, 1)",1,5
"(2, 2, 1)",4,5
"(4, 1)",3,5
"(3, 2)",4,5
"(5,)",1,5
"(1, 1, 1, 1, 1, 1)",2,6
"(2, 1, 1, 1, 1)",0,6
"(3, 1, 1, 1)",0,6
"(2, 2, 1, 1)",3,6
"(4, 1, 1)",0,6
"(3, 2, 1)",1,6
"(5, 1)",0,6
"(2, 2, 2)",2,6
"(4, 2)",3,6
"(3, 3)",2,6
"(6,)",2,6
"(1, 1, 1, 1, 1, 1, 1)",1,7
"(2, 1, 1, 1, 1, 1)",3,7
"(3, 1, 1, 1, 1)",1,7
"(2, 2, 1, 1, 1)",0,7
"(4, 1, 1, 1)",3,7
"(3, 2, 1, 1)",2,7
"(5, 1, 1)",1,7
"(2, 2, 2, 1)",0,7
"(4, 2, 1)",2,7
"(3, 3, 1)",1,7
"(6, 1)",3,7
"(3, 2, 2)",1,7
"(5, 2)",0,7
"(4, 3)",0,7
"(7,)",1,7
"(1, 1, 1, 1, 1, 1, 1, 1)",2,8
"(2, 1, 1, 1, 1, 1, 1)",0,8
"(3, 1, 1, 1, 1, 1)",0,8
"(2, 2, 1, 1, 1, 1)",3,8
"(4, 1, 1, 1, 1)",0,8
"(3, 2, 1, 1, 1)",1,8
"(5, 1, 1, 1)",0,8
"(2, 2, 2, 1, 1)",4,8
"(4, 2, 1, 1)",1,8
"(3, 3, 1, 1)",2,8
"(6, 1, 1)",0,8
"(3, 2, 2, 1)",2,8
"(5, 2, 1)",1,8
"(4, 3, 1)",2,8
"(7, 1)",0,8
"(2, 2, 2, 2)",0,8
"(4, 2, 2)",2,8
"(3, 3, 2)",0,8
"(6, 2)",3,8
"(5, 3)",4,8
"(4, 4)",0,8
"(8,)",2,8
"(1, 1, 1, 1, 1, 1, 1, 1, 1)",1,9
"(2, 1, 1, 1, 1, 1, 1, 1)",3,9
"(3, 1, 1, 1, 1, 1, 1)",1,9
"(2, 2, 1, 1, 1, 1, 1)",0,9
"(4, 1, 1, 1, 1, 1)",3,9
"(3, 2, 1, 1, 1, 1)",2,9
"(5, 1, 1, 1, 1)",1,9
"(2, 2, 2, 1, 1, 1)",3,9
"(4, 2, 1, 1, 1)",0,9
"(3, 3, 1, 1, 1)",1,9
"(6, 1, 1, 1)",3,9
"(3, 2, 2, 1, 1)",1,9
"(5, 2, 1, 1)",0,9
"(4, 3, 1, 1)",3,9
"(7, 1, 1)",1,9
"(2, 2, 2, 2, 1)",4,9
"(4, 2, 2, 1)",3,9
"(3, 3, 2, 1)",2,9
"(6, 2, 1)",2,9
"(5, 3, 1)",1,9
"(4, 4, 1)",4,9
"(8, 1)",3,9
"(3, 2, 2, 2)",4,9
"(5, 2, 2)",1,9
"(4, 3, 2)",2,9
"(7, 2)",0,9
"(3, 3, 3)",1,9
"(6, 3)",3,9
"(5, 4)",4,9
"(9,)",1,9
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,10
"(2, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
"(3, 1, 1, 1, 1, 1, 1, 1)",0,10
"(2, 2, 1, 1, 1, 1, 1, 1)",3,10
"(4, 1, 1, 1, 1, 1, 1)",0,10
"(3, 2, 1, 1, 1, 1, 1)",1,10
"(5, 1, 1, 1, 1, 1)",0,10
"(2, 2, 2, 1, 1, 1, 1)",0,10
"(4, 2, 1, 1, 1, 1)",1,10
"(3, 3, 1, 1, 1, 1)",2,10
"(6, 1, 1, 1, 1)",0,10
"(3, 2, 2, 1, 1, 1)",6,10
"(5, 2, 1, 1, 1)",1,10
"(4, 3, 1, 1, 1)",5,10
"(7, 1, 1, 1)",0,10
"(2, 2, 2, 2, 1, 1)",3,10
"(4, 2, 2, 1, 1)",0,10
"(3, 3, 2, 1, 1)",6,10
"(6, 2, 1, 1)",1,10
"(5, 3, 1, 1)",0,10
"(4, 4, 1, 1)",3,10
