,sg_value,integer,quadrated
"(1,)",1,1,FALSE
"(1, 1)",2,2,FALSE
"(2,)",2,2,FALSE
"(1, 1, 1)",1,3,FALSE
"(2, 1)",0,3,FALSE
"(3,)",1,3,FALSE
"(1, 1, 1, 1)",2,4,FALSE
"(2, 1, 1)",4,4,FALSE
"(3, 1)",4,4,FALSE
"(2, 2)",0,4,TRUE
"(4,)",2,4,FALSE
"(1, 1, 1, 1, 1)",1,5,FALSE
"(2, 1, 1, 1)",3,5,FALSE
"(3, 1, 1)",1,5,FALSE
"(2, 2, 1)",4,5,FALSE
"(4, 1)",3,5,FALSE
"(3, 2)",4,5,FALSE
"(5,)",1,5,FALSE
"(1, 1, 1, 1, 1, 1)",2,6,FALSE
"(2, 1, 1, 1, 1)",0,6,FALSE
"(3, 1, 1, 1)",0,6,FALSE
"(2, 2, 1, 1)",3,6,FALSE
"(4, 1, 1)",0,6,FALSE
"(3, 2, 1)",1,6,FALSE
"(5, 1)",0,6,FALSE
"(2, 2, 2)",2,6,FALSE
"(4, 2)",3,6,TRUE
"(3, 3)",2,6,FALSE
"(6,)",2,6,FALSE
"(1, 1, 1, 1, 1, 1, 1)",1,7,FALSE
"(2, 1, 1, 1, 1, 1)",3,7,FALSE
"(3, 1, 1, 1, 1)",1,7,FALSE
"(2, 2, 1, 1, 1)",0,7,FALSE
"(4, 1, 1, 1)",3,7,FALSE
"(3, 2, 1, 1)",2,7,FALSE
"(5, 1, 1)",1,7,FALSE
"(2, 2, 2, 1)",0,7,FALSE
"(4, 2, 1)",2,7,FALSE
"(3, 3, 1)",1,7,FALSE
"(6, 1)",3,7,FALSE
"(3, 2, 2)",1,7,FALSE
"(5, 2)",0,7,FALSE
"(4, 3)",0,7,FALSE
"(7,)",1,7,FALSE
"(1, 1, 1, 1, 1, 1, 1, 1)",2,8,FALSE
"(2, 1, 1, 1, 1, 1, 1)",0,8,FALSE
"(3, 1, 1, 1, 1, 1)",0,8,FALSE
"(2, 2, 1, 1, 1, 1)",3,8,FALSE
"(4, 1, 1, 1, 1)",0,8,FALSE
"(3, 2, 1, 1, 1)",1,8,FALSE
