,sg_value,quadrated
"(2,)",2,False
"(2, 2)",0,True
"(2, 2, 2)",2,False
"(2, 2, 2, 2)",0,True
"(2, 2, 2, 2, 2)",2,False
"(2, 2, 2, 2, 2, 2)",0,True
"(2, 2, 2, 2, 2, 2, 2)",2,False
"(2, 2, 2, 2, 2, 2, 2, 2)",0,True
"(3,)",1,False
"(3, 3)",2,False
"(3, 3, 3)",1,False
"(3, 3, 3, 3)",2,False
"(3, 3, 3, 3, 3)",1,False
"(3, 3, 3, 3, 3, 3)",2,False
"(3, 3, 3, 3, 3, 3, 3)",1,False
"(3, 3, 3, 3, 3, 3, 3, 3)",2,False
"(4,)",2,False
"(4, 4)",0,True
"(4, 4, 4)",2,False
"(4, 4, 4, 4)",0,True
"(4, 4, 4, 4, 4)",2,False
"(4, 4, 4, 4, 4, 4)",0,True
"(4, 4, 4, 4, 4, 4, 4)",2,False
"(4, 4, 4, 4, 4, 4, 4, 4)",0,True
"(5,)",1,False
"(5, 5)",2,False
"(5, 5, 5)",1,False
"(5, 5, 5, 5)",2,False
"(5, 5, 5, 5, 5)",1,False
"(5, 5, 5, 5, 5, 5)",2,False
"(5, 5, 5, 5, 5, 5, 5)",1,False
"(5, 5, 5, 5, 5, 5, 5, 5)",2,False
"(6,)",2,False
"(6, 6)",0,True
"(6, 6, 6)",2,False
"(6, 6, 6, 6)",0,True
"(6, 6, 6, 6, 6)",2,False
"(6, 6, 6, 6, 6, 6)",0,True
"(6, 6, 6, 6, 6, 6, 6)",2,False
"(6, 6, 6, 6, 6, 6, 6, 6)",0,True
"(7,)",1,False
"(7, 7)",2,False
"(7, 7, 7)",1,False
"(7, 7, 7, 7)",2,False
"(7, 7, 7, 7, 7)",1,False
"(7, 7, 7, 7, 7, 7)",2,False
"(7, 7, 7, 7, 7, 7, 7)",1,False
"(7, 7, 7, 7, 7, 7, 7, 7)",2,False
"(8,)",2,False
"(8, 8)",0,True
"(8, 8, 8)",2,False
"(8, 8, 8, 8)",0,True
"(8, 8, 8, 8, 8)",2,False
"(8, 8, 8, 8, 8, 8)",0,True
"(8, 8, 8, 8, 8, 8, 8)",2,False
"(8, 8, 8, 8, 8, 8, 8, 8)",0,True
"(9,)",1,False
"(9, 9)",2,False
"(9, 9, 9)",1,False
"(9, 9, 9, 9)",2,False
"(9, 9, 9, 9, 9)",1,False
"(9, 9, 9, 9, 9, 9)",2,False
"(9, 9, 9, 9, 9, 9, 9)",1,False
"(9, 9, 9, 9, 9, 9, 9, 9)",2,False
